Team,RNK,BNG,FRL,OWN,AFF,STX,PLA,CCH,TTR
Seattle Seahawks,3,3,11,5,69,13,3,5,8
Green Bay Packers,8,55,7,4,20,3,9,25,2
Indianapolis Colts,13,19,25,57,36,17,15,21,19
New Orleans Saints,14,29,22,24,38,38,13,4,10
Denver Broncos,17,5,53,19,73,57,27,43,30
Carolina Panthers,26,4,58,62,56,78,43,51,57
San Francisco 49ers,27,10,76,36,86,59,19,8,26
Baltimore Ravens,36,63,57,11,48,33,26,19,5
Pittsburgh Steelers,38,69,37,7,49,56,30,36,8
New England Patriots,43,44,51,31,99,61,16,2,17
Jacksonville Jaguars,44,113,24,28,2,19,47,12,60
Kansas City Chiefs,56,30,79,47,70,49,65,24,86
Arizona Cardinals,58,40,85,68,57,63,54,27,73
Atlanta Falcons,67,82,67,33,66,95,69,60,70
Philadelphia Eagles,69,67,77,55,93,89,58,29,77
Houston Texans,72,108,48,38,89,55,57,77,69
Chicago Bears,77,81,78,58,108,98,56,53,49
New York Giants,79,94,82,34,113,101,71,23,15
Buffalo Bills,82,68,92,96,12,106,86,77,102
Tampa Bay Buccaneers,84,92,100,82,79,86,95,41,37
St. Louis Rams,88,73,96,113,74,116,84,32,40
Cincinnati Bengals,99,15,118,110,91,110,88,95,110
San Diego Chargers,100,47,95,106,102,120,77,56,90
Minnesota Vikings,103,84,101,85,88,113,79,67,102
Tennessee Titans,104,61,108,102,78,103,106,83,98
Dallas Cowboys,107,100,109,92,112,69,108,112,48
Miami Dolphins,108,53,121,99,94,111,112,107,90
Washington Redskins,109,116,105,88,111,112,96,99,54
Cleveland Browns,110,95,115,111,72,104,104,96,111
Detroit Lions,111,70,120,84,98,97,113,100,120
New York Jets,113,97,110,93,117,105,100,44,105
Oakland Raiders,119,109,111,115,83,121,114,109,56